title,employer,department,salary,location,post_date,close_date,url
"PhD Studentship: Virtual Reality Toolkit for Diabetes. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Clinical and Biomedical Sciences.",University of Exeter,HLS,"From £18,662 annual stipend",Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN619/phd-studentship-virtual-reality-toolkit-for-diabetes-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-clinical-and-biomedical-sciences
PhD Studentship: Autonomous Multi-agent Systems for Constrained Devices in Building Automation Domain,University of Birmingham,School of Computer Science,"£18,622 p.a.",Birmingham,2023-09-05,2023-09-20,https://www.jobs.ac.uk/job/DCN576/phd-studentship-autonomous-multi-agent-systems-for-constrained-devices-in-building-automation-domain
"Full Time PhD Studentship at The School of Physical Sciences, STEM Faculty",The Open University,"School of Physical Sciences, Faculty of Science, Technology, Engineering and Mathematics (STEM)","£18,622 stipend (+ £1,000 research training support grant) per annum",Milton Keynes,2023-09-05,2023-10-02,https://www.jobs.ac.uk/job/DCN565/full-time-phd-studentship-at-the-school-of-physical-sciences-stem-faculty
"PhD Studentship: Using modelling approaches to reduce inequality in physical activity interventions. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Mathematics & Statistics.",University of Exeter,HLS,"From £18,662 annual stipend",Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN556/phd-studentship-using-modelling-approaches-to-reduce-inequality-in-physical-activity-interventions-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-mathematics-and-statistics
"PhD Studentship: Understanding and addressing inequalities in the cancer diagnostic pathway for people with anxiety and/or depression. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Medicine",University of Exeter,HLS,"From £18,662 annual stipend",Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN550/phd-studentship-understanding-and-addressing-inequalities-in-the-cancer-diagnostic-pathway-for-people-with-anxiety-and-or-depression-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-medicine
"PhD Studentship: Integrative analysis of whole genomes and transcriptomes from multiple cell types in rare disease patients. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Clinical & Biomedical Sciences",University of Exeter,HLS,"From £18,662 annual stipend",Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN548/phd-studentship-integrative-analysis-of-whole-genomes-and-transcriptomes-from-multiple-cell-types-in-rare-disease-patients-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-clinical-and-biomedical-sciences
"PhD Studentship: Using molecular and clinical data to predict outcomes to treatments for depression. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Psychology",University of Exeter,HLS,"From £18,662 annual stipend",Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN545/phd-studentship-using-molecular-and-clinical-data-to-predict-outcomes-to-treatments-for-depression-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-psychology
"PhD Studentship: Effect of Alzheimer’s disease risk variants on microglial cell state transitions in response to pathology. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Clinical and Biomedical Sciences",University of Exeter,HLS,"From £18,662 annual stipend",Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN543/phd-studentship-effect-of-alzheimers-disease-risk-variants-on-microglial-cell-state-transitions-in-response-to-pathology-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-clinical-and-biomedical-sciences
"PhD Studentship: Characterising a novel neuroimmune pathway to treat neurodegenerative disease. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Clinical & Biomedical Sciences",University of Exeter,HLS,"From £18,662 annual stipend",Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN537/phd-studentship-characterising-a-novel-neuroimmune-pathway-to-treat-neurodegenerative-disease-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-clinical-and-biomedical-sciences
"PhD Studentship : Can online games be indicators of mental health issues? MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Psychology",University of Exeter,HLS,See advert for details,Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN506/phd-studentship-can-online-games-be-indicators-of-mental-health-issues-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-psychology
"PhD Studentship : Can nutritional intervention unlock better outcomes after traumatic brain injuries? Investigating brain blood flow and cellular metabolism regulation by ketones following head impacts. MRC GW4 BioMed DTP PhD studentship 2024/25 Entry, PhD in Clinical and Biomedical Sciences",University of Exeter,HLS,See advert for details,Exeter,2023-09-05,2023-11-01,https://www.jobs.ac.uk/job/DCN484/phd-studentship-can-nutritional-intervention-unlock-better-outcomes-after-traumatic-brain-injuries-investigating-brain-blood-flow-and-cellular-metabolism-regulation-by-ketones-following-head-impacts-mrc-gw4-biomed-dtp-phd-studentship-2024-25-entry-phd-in-clinical-and-biomedical-sciences
PhD Studentship: Machine Learning in Tunnel Boring Excavation,University of Bristol,Civil Engineering / Engineering Mathematics,"From £18,662 annual stipend, subject to eligibility status and confirmation of award",Bristol,2023-09-05,2023-09-30,https://www.jobs.ac.uk/job/DCN454/phd-studentship-machine-learning-in-tunnel-boring-excavation
